Loja,Produto,Categoria,Data,Quantidade,Valor Unitário Médio,Total
Restaurante Bodogami,ENERGETICO,BEBIDAS REFRIGERANTES,13/03/2022,3,"R$14,00","R$42,00"
Restaurante Bodogami,NEGRONI,DRINKS ALCOOLICOS,11/02/2023,1,"R$32,00","R$32,00"
Restaurante Bodogami,FADA INSENSATA,DRINKS ALCOOLICOS,30/04/2021,1,"R$22,00","R$22,00"
Restaurante Bodogami,GREENY SMITH,CAFE AUTORAIS,14/10/2021,1,"R$12,00","R$12,00"
Restaurante Bodogami,REFRIGERANTE DE MATCHA,DRINKS ALCOOLICOS,03/06/2021,3,"R$9,00","R$27,00"
Restaurante Bodogami,CHA QUENTE BANCHA,BEBIDAS,08/07/2021,2,"R$5,00","R$10,00"
Restaurante Bodogami,PINK LEMONADE,DRINKS NAO ALCOOLICOS,08/01/2022,16,"R$9,00","R$144,00"
Restaurante Bodogami,DOSE DE SAQUE,DRINKS ALCOOLICOS,05/10/2022,1,"R$5,00","R$5,00"
Restaurante Bodogami,MOCHA,CAFE CLASSICOS,14/10/2022,1,"R$13,00","R$13,00"
Restaurante Bodogami,FRAPPE CARAMELO,CAFE CLASSICOS,21/08/2021,1,"R$15,00","R$15,00"
Restaurante Bodogami,CAPPUCCINO MEDIO,CAFE CLASSICOS,29/08/2021,1,"R$10,00","R$10,00"
Restaurante Bodogami,DOSE DE CACHACA,DRINKS ALCOOLICOS,22/07/2022,3,"R$5,00","R$15,00"
Restaurante Bodogami,AGUA MINERAL,BEBIDAS,08/04/2022,5,"R$5,00","R$25,00"
Restaurante Bodogami,COCA COLA LATA DIET 350ML,BEBIDAS,14/01/2022,2,"R$7,00","R$14,00"
Restaurante Bodogami,CARAMELO MACCHIATO,CAFE AUTORAIS,18/03/2023,3,"R$9,00","R$27,00"
Restaurante Bodogami,GRANDE ICED MOCHA,CAFE CLASSICOS,13/02/2022,1,"R$15,00","R$15,00"
Restaurante Bodogami,CARAMELO MACCHIATO,CAFE AUTORAIS,19/02/2023,4,"R$9,00","R$36,00"
Restaurante Bodogami,APPLE MARTINI,DRINKS ALCOOLICOS,08/07/2022,5,"R$25,00","R$125,00"
Restaurante Bodogami,LEITE VEGETAL AVEIA NUDE,CAFE CLASSICOS,24/09/2022,2,"R$3,00","R$6,00"
Restaurante Bodogami,ESSENCIA DE BAUNILHA,BEBIDAS,03/12/2022,1,"R$1,00","R$1,00"
Restaurante Bodogami,SUCO DE LIMAO,BEBIDAS,22/05/2022,3,"R$9,00","R$27,00"
Restaurante Bodogami,COUVERT LUDICO FDS,EVENTOS,19/02/2022,124,"R$25,00","R$3.100,00"
Restaurante Bodogami,TWIX,CAFE AUTORAIS,29/04/2023,4,"R$18,00","R$72,00"
Restaurante Bodogami,APPLE MARTINI,DRINKS ALCOOLICOS,14/05/2022,5,"R$25,00","R$125,00"
Restaurante Bodogami,COCA COLA LATA DIET 350ML,BEBIDAS,03/02/2023,12,"R$8,00","R$96,00"
Restaurante Bodogami,ESPRESSO TONICA,CAFE AUTORAIS,06/12/2022,2,"R$14,00","R$28,00"
